AREA,N,15,0;PERIMETER,N,15,0;NAZEV,C,20;OB91,N,7,0;OB01,N,9,0;OB_311202,N,11,0;NUTS3,C,7;NK,C,4;KN,C,4;NUTS2,C,7;NAZEV_ENG,C,50
3162900000;419095;Liberecký;425120;430820;427321;CZ051;LB;07;CZ05;Liberecky
5341100000;601702;Ústecký;824461;826869;819712;CZ042;US;06;CZ04;Ustecky
496080000;150985;Hlavní m?sto Praha;1214174;1180131;1161938;CZ011;HP;01;CZ01;Hlavni mesto Praha
3316600000;414085;Karlovarský;301985;306887;304220;CZ041;KA;05;CZ04;Karlovarsky
4766500000;554071;Královéhradecký;552809;554594;548437;CZ052;KH;08;CZ05;Kralovehradecky
11013000000;1019320;St?edo?eský;1112882;1128766;1128674;CZ021;ST;02;CZ02;Stredocesky
7565900000;582039;Plze?ský;558307;553848;549374;CZ032;PL;04;CZ03;Plzensky
4523100000;495415;Pardubický;508718;510126;506534;CZ053;PA;09;CZ05;Pardubicky
5141400000;643412;Olomoucký;642796;642346;636750;CZ071;OL;12;CZ07;Olomoucky
5566500000;541629;Moravskoslezský;1283271;1277412;1262660;CZ081;MS;13;CZ08;Moravskoslezsky
6924300000;577442;Vyso?ina;521068;521308;517630;CZ061;VY;10;CZ06;Vysocina
10071000000;765455;Jiho?eský;622889;630190;625097;CZ031;JC;03;CZ03;Jihocesky
3960600000;386819;Zlínský;596903;597848;593130;CZ072;ZL;14;CZ07;Zlinsky
7064900000;736104;Jihomoravský;1136832;1134170;1121792;CZ062;JM;11;CZ06;Jihomoravsky
